date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-02-16,4685.93994,4782.79004,4685.93994,4763.8501,4763.8501,0,0,77.91016,1.66,4765.8,"February 16, 24",0.0166
2024-02-15,4713.77979,4749.27002,4713.77979,4743.16992,4743.16992,26284000,26284000,29.39013,0.62349,4730.0,"February 15, 24",0.0062349
2024-02-14,4685.93994,4712.89014,4681.62012,4709.22021,4709.22022,20156500,20156500,23.28027,0.49681,4697.42,"February 14, 24",0.0049681
2024-02-13,4746.45996,4746.45996,4671.99023,4689.27979,4689.27979,22710500,22710500,-57.18017,-1.2,4713.55,"February 13, 24",-0.012
2024-02-12,4720.2998,4746.3501,4720.2998,4746.3501,4746.3501,21602800,21602800,26.0503,0.55188,4733.32,"February 12, 24",0.0055188
2024-02-09,4711.33008,4723.77002,4696.50977,4715.87012,4715.87012,30842300,30842300,4.54004,0.09636429,4711.87,"February 09, 24",0.0009636429
2024-02-08,4687.20996,4720.77979,4682.83008,4710.77979,4710.77979,26948800,26948800,23.56983,0.50285,4704.8,"February 08, 24",0.0050285
2024-02-07,4691.56982,4694.87988,4677.91992,4678.8501,4678.8501,36290900,36290900,-12.71972,-0.27112,4683.88,"February 07, 24",-0.0027112
2024-02-06,4667.5,4692.43994,4660.02002,4690.87012,4690.87012,40126800,40126800,23.37012,0.5007,4681.11,"February 06, 24",0.005007
2024-02-05,4656.0498,4667.3999,4638.33008,4655.27002,4655.27002,41764000,41764000,-0.77978,-0.01674767,4654.26,"February 05, 24",-0.0001674767
2024-02-02,4645.77979,4676.70996,4645.77979,4654.5498,4654.5498,29245500,29245500,8.77001,0.18877,4659.01,"February 02, 24",0.0018877
2024-02-01,4641.93994,4656.52002,4619.47998,4638.6001,4638.6001,38356000,38356000,-3.33984,-0.07194923,4639.14,"February 01, 24",-0.0007194923
2024-01-31,4659.87012,4674.74023,4642.68994,4648.3999,4648.3999,36656800,36656800,-11.47022,-0.24615,4656.43,"January 31, 24",-0.0024615
2024-01-30,4647.41016,4667.41992,4642.25977,4662.7002,4662.7002,31631300,31631300,15.29004,0.329,4654.95,"January 30, 24",0.00329
2024-01-29,4636.77002,4639.35986,4622.45996,4639.35986,4639.35986,26589700,26589700,2.58984,0.0558544,4634.49,"January 29, 24",0.000558544
2024-01-26,4572.12988,4639.0498,4572.12988,4635.47021,4635.47022,24797100,24797100,63.34033,1.39,4604.69,"January 26, 24",0.0139
2024-01-25,4562.33984,4584.87012,4545.52002,4582.25977,4582.25977,30570800,30570800,19.91993,0.43662,4568.75,"January 25, 24",0.0043662
2024-01-24,4469.79004,4564.10986,4469.6001,4564.10986,4564.10986,30202900,30202900,94.31982,2.11,4516.9,"January 24, 24",0.0211
2024-01-23,4487.50977,4496.39014,4456.77979,4465.91016,4465.91016,21306700,21306700,-21.59961,-0.48133,4476.65,"January 23, 24",-0.0048133
2024-01-22,4454.4502,4495.43018,4454.4502,4480.31982,4480.31982,24707800,24707800,25.86962,0.58076,4471.16,"January 22, 24",0.0058076
2024-01-19,4465.2002,4476.77979,4437.5,4448.83008,4448.83008,26267800,26267800,-16.37012,-0.36662,4457.08,"January 19, 24",-0.0036662
2024-01-18,4417.56006,4455.47021,4408.41992,4453.0498,4453.0498,25615800,25615800,35.48974,0.80338,4433.62,"January 18, 24",0.0080338
2024-01-17,4420.6001,4420.6001,4380.97021,4403.08008,4403.08008,26429000,26429000,-17.52002,-0.39633,4406.31,"January 17, 24",-0.0039633
2024-01-16,4443.20996,4448.4502,4414.43994,4446.50977,4446.50977,22717700,22717700,3.29981,0.07426635,4438.15,"January 16, 24",0.0007426635
2024-01-15,4483.97998,4489.49023,4451.02979,4454.68018,4454.68018,16286900,16286900,-29.2998,-0.65343,4469.8,"January 15, 24",-0.0065343
2024-01-12,4453.24023,4492.77002,4453.24023,4480.02002,4480.02002,20703500,20703500,26.77979,0.60136,4469.82,"January 12, 24",0.0060136
2024-01-11,4481.3999,4510.00977,4441.45996,4442.27979,4442.27979,24082000,24082000,-39.12011,-0.87294,4468.79,"January 11, 24",-0.0087294
2024-01-10,4467.1499,4484.7998,4459.54004,4468.97998,4468.97998,20341000,20341000,1.83008,0.04096751,4470.12,"January 10, 24",0.0004096751
2024-01-09,4486.99023,4486.99023,4446.62012,4467.16992,4467.16992,25544800,25544800,-19.82031,-0.44173,4471.94,"January 09, 24",-0.0044173
2024-01-08,4461.7998,4487.25977,4438.49023,4485.47998,4485.47998,21900200,21900200,23.68018,0.53073,4468.26,"January 08, 24",0.0053073
2024-01-05,4458.74023,4474.87988,4418.08008,4463.50977,4463.50977,28778100,28778100,4.76954,0.10697,4453.8,"January 05, 24",0.0010697
2024-01-04,4451.72021,4476.72021,4443.41992,4474.00977,4474.00977,28082800,28082800,22.28956,0.5007,4461.47,"January 04, 24",0.005007
2024-01-03,4514.2002,4515.7002,4433.14014,4448.12988,4448.12988,26376200,26376200,-66.07032,-1.46,4477.79,"January 03, 24",-0.0146
2024-01-02,4528.4502,4568.7998,4484.81982,4512.81006,4512.81006,0,0,-15.64014,-0.34538,4522.14,"January 02, 24",-0.0034538
2023-12-29,4518.12012,4536.43994,4517.31006,4521.6499,4521.6499,13276900,13276900,3.52978,0.07812497,4523.38,"December 29, 23",0.0007812497
2023-12-28,4536.68018,4542.75,4512.64014,4514.37988,4514.37988,14425000,14425000,-22.3003,-0.49156,4526.61,"December 28, 23",-0.0049156
2023-12-27,4521.7998,4542.33008,4520.50977,4528.37988,4528.37988,16854400,16854400,6.58008,0.14552,4528.25,"December 27, 23",0.0014552
2023-12-22,4520.6001,4528.0498,4505.72998,4521.47021,4521.47022,17782200,17782200,0.87011,0.01924767,4518.96,"December 22, 23",0.0001924767
2023-12-21,4522.49023,4524.85986,4503.35986,4524.85986,4524.85986,16748300,16748300,2.36963,0.05239658,4518.89,"December 21, 23",0.0005239658
2023-12-20,4538.12012,4546.06006,4515.52002,4533.81982,4533.81982,22434600,22434600,-4.3003,-0.0947595,4533.38,"December 20, 23",-0.000947595
2023-12-19,4522.12988,4538.31982,4519.27979,4535.3999,4535.3999,23305200,23305200,13.27002,0.29345,4528.78,"December 19, 23",0.0029345
2023-12-18,4540.12012,4541.41992,4513.1001,4521.12988,4521.12988,22240500,22240500,-18.99024,-0.41828,4528.94,"December 18, 23",-0.0041828
2023-12-15,4551.02979,4579.8999,4542.10986,4549.43994,4549.43994,62263800,62263800,-1.58985,-0.03493385,4555.62,"December 15, 23",-0.0003493385
2023-12-14,4541.47021,4593.10986,4515.91992,4539.16016,4539.16016,47268300,47268300,-2.31005,-0.05086569,4547.42,"December 14, 23",-0.0005086569
2023-12-13,4539.4502,4554.12988,4528.99023,4530.18994,4530.18994,27793300,27793300,-9.26026,-0.204,4538.19,"December 13, 23",-0.00204
2023-12-12,4544.41016,4561.10986,4535.04004,4536.60986,4536.60986,26300000,26300000,-7.8003,-0.17165,4544.29,"December 12, 23",-0.0017165
2023-12-11,4522.79004,4544.12988,4519.62012,4540.18994,4540.18994,24134800,24134800,17.3999,0.38472,4531.68,"December 11, 23",0.0038472
2023-12-08,4477.04004,4531.54004,4477.04004,4523.31006,4523.31006,26886000,26886000,46.27002,1.03,4502.23,"December 08, 23",0.0103
2023-12-07,4480.52002,4480.52002,4465.25,4473.77002,4473.77002,31121800,31121800,-6.75,-0.15065,4475.02,"December 07, 23",-0.0015065
2023-12-06,4460.33008,4495.2998,4458.52979,4483.25977,4483.25977,32538500,32538500,22.92969,0.51408,4474.35,"December 06, 23",0.0051408
2023-12-05,4414.33008,4457.81982,4412.66992,4452.77002,4452.77002,31965100,31965100,38.43994,0.8708,4434.4,"December 05, 23",0.008708
2023-12-04,4414.2998,4426.5498,4405.33008,4414.9502,4414.9502,25291700,25291700,0.6504,0.01473393,4415.28,"December 04, 23",0.0001473393
2023-12-01,4393.04004,4420.56982,4393.04004,4418.50977,4418.50977,23410400,23410400,25.46973,0.57977,4406.29,"December 01, 23",0.0057977
2023-11-30,4370.39014,4392.81006,4361.83008,4382.47021,4382.47022,55338100,55338100,12.08007,0.27641,4376.88,"November 30, 23",0.0027641
2023-11-29,4341.2998,4382.1499,4341.2998,4370.52979,4370.52979,30478700,30478700,29.22999,0.6733,4358.82,"November 29, 23",0.006733
2023-11-28,4350.33984,4350.33984,4328.12012,4348.02002,4348.02002,23473700,23473700,-2.31982,-0.05332503,4344.2,"November 28, 23",-0.0005332503
2023-11-27,4369.91992,4376.7002,4353.27002,4354.41016,4354.41016,22306300,22306300,-15.50976,-0.35492,4363.58,"November 27, 23",-0.0035492
2023-11-24,4357.9502,4375.83008,4356.08008,4372.1001,4372.1001,21635400,21635400,14.1499,0.32469,4365.49,"November 24, 23",0.0032469
2023-11-23,4352.72998,4363.6499,4350.41992,4361.31982,4361.31982,18317400,18317400,8.58984,0.19734,4357.03,"November 23, 23",0.0019734
2023-11-22,4335.77979,4357.1001,4335.77979,4352.02002,4352.02002,22322500,22322500,16.24023,0.37456,4345.17,"November 22, 23",0.0037456
2023-11-21,4343.06982,4345.06982,4329.52979,4331.8999,4331.8999,24992700,24992700,-11.16992,-0.25719,4337.39,"November 21, 23",-0.0025719
2023-11-20,4338.3999,4348.49023,4330.47021,4342.41016,4342.41016,31874800,31874800,4.01026,0.09243638,4339.94,"November 20, 23",0.0009243638
2023-11-17,4304.0,4347.52979,4304.0,4340.77002,4340.77002,41324200,41324200,36.77002,0.85432,4324.07,"November 17, 23",0.0085432
2023-11-16,4315.56982,4323.6001,4302.4502,4302.4502,4302.4502,32963100,32963100,-13.11962,-0.30401,4311.02,"November 16, 23",-0.0030401
2023-11-15,4294.97998,4326.72021,4294.97998,4315.52979,4315.52979,29961300,29961300,20.54981,0.47846,4308.05,"November 15, 23",0.0047846
2023-11-14,4232.3999,4304.72021,4230.91016,4291.72021,4291.72022,37242600,37242600,59.32031,1.4,4264.94,"November 14, 23",0.014
2023-11-13,4205.41016,4234.72998,4205.41016,4232.18994,4232.18994,26669400,26669400,26.77978,0.63679,4219.44,"November 13, 23",0.0063679
2023-11-10,4218.25977,4218.25977,4176.16016,4197.35986,4197.35986,25219100,25219100,-20.89991,-0.49546,4202.51,"November 10, 23",-0.0049546
2023-11-09,4179.3501,4234.0,4166.89014,4229.2002,4229.2002,25142800,25142800,49.8501,1.19,4202.36,"November 09, 23",0.0119
2023-11-08,4148.41992,4197.62988,4133.45996,4178.49023,4178.49023,27660500,27660500,30.07031,0.72486,4164.5,"November 08, 23",0.0072486
2023-11-07,4150.52002,4164.87988,4135.52979,4153.37012,4153.37012,20870700,20870700,2.8501,0.0686685,4151.07,"November 07, 23",0.000686685
2023-11-06,4178.31982,4188.6499,4152.08008,4158.64014,4158.64014,25431900,25431900,-19.67968,-0.471,4169.42,"November 06, 23",-0.00471
2023-11-03,4175.8501,4195.95996,4163.85986,4174.66992,4174.66992,35837400,35837400,-1.18018,-0.02826203,4177.58,"November 03, 23",-0.0002826203
2023-11-02,4102.08984,4188.31006,4102.08984,4169.62012,4169.62012,35274500,35274500,67.53028,1.65,4140.53,"November 02, 23",0.0165
2023-11-01,4069.6499,4103.6499,4049.87012,4091.70996,4091.70996,28092900,28092900,22.06006,0.54206,4078.72,"November 01, 23",0.0054206
2023-10-31,4030.83008,4073.48999,4026.92993,4061.12012,4061.12012,33313900,33313900,30.29004,0.75146,4048.09,"October 31, 23",0.0075146
2023-10-30,4023.41992,4050.97998,4023.41992,4028.32007,4028.32007,25448600,25448600,4.90015,0.12179,4031.53,"October 30, 23",0.0012179
2023-10-27,4056.1001,4068.52002,4006.63989,4014.36011,4014.36011,24394700,24394700,-41.73999,-1.03,4036.41,"October 27, 23",-0.0103
2023-10-26,4070.75,4070.75,4017.73999,4049.3999,4049.3999,27690700,27690700,-21.3501,-0.52448,4052.16,"October 26, 23",-0.0052448
2023-10-25,4062.34009,4082.48999,4040.51001,4073.3501,4073.3501,22484800,22484800,11.01001,0.27103,4064.67,"October 25, 23",0.0027103
2023-10-24,4045.41992,4074.32007,4026.6499,4065.37012,4065.37012,25258900,25258900,19.9502,0.49316,4052.94,"October 24, 23",0.0049316
