number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_neurons,state
0,0.03212423467825737,2024-02-01 15:33:40.343652,2024-02-01 15:34:28.460890,0 days 00:00:48.117238,32,95,0.01,150,COMPLETE
1,0.213712050022894,2024-02-01 15:34:28.478469,2024-02-01 15:34:34.562416,0 days 00:00:06.083947,128,24,0.1,150,COMPLETE
2,0.14884732007220366,2024-02-01 15:34:34.587566,2024-02-01 15:34:47.342004,0 days 00:00:12.754438,128,59,0.0001,150,COMPLETE
3,0.10788456856284485,2024-02-01 15:34:47.360843,2024-02-01 15:35:04.230869,0 days 00:00:16.870026,32,32,0.0001,150,COMPLETE
4,0.14715220934006087,2024-02-01 15:35:04.248368,2024-02-01 15:35:12.680674,0 days 00:00:08.432306,128,86,0.0001,30,COMPLETE
5,0.03367349117935879,2024-02-01 15:35:12.699089,2024-02-01 15:35:53.084502,0 days 00:00:40.385413,32,89,0.01,150,COMPLETE
6,0.06771996942924881,2024-02-01 15:35:53.108584,2024-02-01 15:35:57.703394,0 days 00:00:04.594810,128,44,0.01,30,COMPLETE
7,0.09770919571206424,2024-02-01 15:35:57.719058,2024-02-01 15:36:16.809947,0 days 00:00:19.090889,64,94,0.0001,100,COMPLETE
8,0.049999337055093476,2024-02-01 15:36:16.823334,2024-02-01 15:36:28.747479,0 days 00:00:11.924145,64,41,0.01,150,COMPLETE
9,0.12935785403825614,2024-02-01 15:36:28.763432,2024-02-01 15:36:41.151329,0 days 00:00:12.387897,128,96,0.0001,100,COMPLETE
10,0.05051280567872897,2024-02-01 15:36:41.165904,2024-02-01 15:36:58.557843,0 days 00:00:17.391939,32,73,0.001,50,COMPLETE
11,0.028103477652311804,2024-02-01 15:36:58.573349,2024-02-01 15:37:33.241962,0 days 00:00:34.668613,32,78,0.01,150,COMPLETE
12,0.03334563352348271,2024-02-01 15:37:33.256168,2024-02-01 15:37:50.899751,0 days 00:00:17.643583,32,73,0.01,50,COMPLETE
13,0.02659864474043962,2024-02-01 15:37:50.915643,2024-02-01 15:38:26.802237,0 days 00:00:35.886594,32,78,0.01,150,COMPLETE
14,0.05016621992732634,2024-02-01 15:38:26.821444,2024-02-01 15:38:58.837222,0 days 00:00:32.015778,32,70,0.001,150,COMPLETE
15,0.1195522522869206,2024-02-01 15:38:58.858683,2024-02-01 15:39:26.377138,0 days 00:00:27.518455,32,59,0.1,150,COMPLETE
16,0.03860102853466513,2024-02-01 15:39:26.392078,2024-02-01 15:39:38.456399,0 days 00:00:12.064321,64,81,0.01,30,COMPLETE
17,0.031803784744485475,2024-02-01 15:39:38.469370,2024-02-01 15:39:55.019767,0 days 00:00:16.550397,32,67,0.01,50,COMPLETE
18,0.029458763593775795,2024-02-01 15:39:55.040373,2024-02-01 15:40:23.287335,0 days 00:00:28.246962,32,80,0.01,100,COMPLETE
19,0.13676888430855944,2024-02-01 15:40:23.304462,2024-02-01 15:40:48.197170,0 days 00:00:24.892708,32,52,0.1,150,COMPLETE
20,0.05962705040706094,2024-02-01 15:40:48.212056,2024-02-01 15:41:09.988784,0 days 00:00:21.776728,64,80,0.001,150,COMPLETE
21,0.02841637959972381,2024-02-01 15:41:10.003554,2024-02-01 15:41:37.426800,0 days 00:00:27.423246,32,78,0.01,100,COMPLETE
22,0.03351067341231856,2024-02-01 15:41:37.455220,2024-02-01 15:42:01.719738,0 days 00:00:24.264518,32,64,0.01,100,COMPLETE
23,0.030453540347628406,2024-02-01 15:42:01.736128,2024-02-01 15:42:28.924807,0 days 00:00:27.188679,32,76,0.01,100,COMPLETE
24,0.02950211159825981,2024-02-01 15:42:28.940357,2024-02-01 15:42:58.974125,0 days 00:00:30.033768,32,85,0.01,100,COMPLETE
25,0.02687170548739699,2024-02-01 15:42:58.990694,2024-02-01 15:43:29.448899,0 days 00:00:30.458205,32,89,0.01,100,COMPLETE
26,0.03708826050419786,2024-02-01 15:43:29.463052,2024-02-01 15:43:49.761045,0 days 00:00:20.297993,32,90,0.01,50,COMPLETE
27,0.04507496883905241,2024-02-01 15:43:49.774923,2024-02-01 15:44:10.323419,0 days 00:00:20.548496,32,97,0.01,30,COMPLETE
28,0.12614652536115978,2024-02-01 15:44:10.336218,2024-02-01 15:44:36.014973,0 days 00:00:25.678755,64,100,0.1,150,COMPLETE
29,0.03028635453367322,2024-02-01 15:44:36.032057,2024-02-01 15:45:15.393366,0 days 00:00:39.361309,32,91,0.01,150,COMPLETE
30,0.050596008765625214,2024-02-01 15:45:15.406915,2024-02-01 15:45:37.783390,0 days 00:00:22.376475,32,65,0.001,100,COMPLETE
31,0.030831934322191872,2024-02-01 15:45:37.795372,2024-02-01 15:46:07.273231,0 days 00:00:29.477859,32,82,0.01,100,COMPLETE
